SKU,EBO_Qty,D2C_Qty,Total_Qty,Bagalur,EBO_Transfer,D2C_Transfer,Total_3PL_Transfer,Bhiwandi,Kolkata,Gurgaon
BJB205MYE14Y,0.0,15.0,15,15,0,0,0,0,0,0
BJB205OGY08Y,5.0,11.0,16,16,0,0,0,0,0,0
BJB205OGY10Y,4.0,16.0,20,20,0,0,0,0,0,0
BJB205OGY12Y,0.0,10.0,10,10,0,0,0,0,0,0
BJB205OGY14Y,0.0,9.0,9,9,0,0,0,0,0,0
BJB205UGY08Y,0.0,19.0,19,19,0,0,0,0,0,0
BJB205UGY10Y,0.0,10.0,10,10,0,0,0,0,0,0
BJB205UGY12Y,0.0,8.0,8,8,0,0,0,0,0,0
BJB205UGY14Y,0.0,18.0,18,18,0,0,0,0,0,0
BJB205WLG08Y,8.0,18.0,26,26,0,0,0,0,0,0
BJB205WLG10Y,0.0,14.0,14,14,0,0,0,0,0,0
BJB205WLG12Y,0.0,12.0,12,12,0,0,0,0,0,0
BJB205WLG14Y,0.0,5.0,5,5,0,0,0,0,0,0
BJBM13BKS08Y,0.0,19.0,19,19,0,0,0,0,0,0
BJBM13BKS10Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM13BKS12Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM13BKS14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM13BLA08Y,0.0,21.0,21,20,0,1,1,0,0,1
BJBM13BLA10Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM13BLA14Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM13BLE08Y,0.0,14.0,14,14,0,0,0,0,0,0
BJBM13BLE10Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM13BLE12Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM13BLE14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM13CFK08Y,0.0,16.0,16,16,0,0,0,0,0,0
BJBM13MYE08Y,0.0,17.0,17,17,0,0,0,0,0,0
BJBM13MYE10Y,0.0,4.0,4,4,0,0,0,0,0,0
BJBM13MYE12Y,0.0,3.0,3,3,0,0,0,0,0,0
BJBM13MYE14Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM13OGY08Y,0.0,20.0,20,20,0,0,0,0,0,0
BJBM13OGY10Y,0.0,2.0,2,2,0,0,0,0,0,0
BJBM13OGY14Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM86BLK08Y,0.0,111.0,111,95,0,16,16,8,6,2
BJBM86BLK10Y,0.0,11.0,11,11,0,0,0,0,0,0
BJBM86BLK12Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM86BLK14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM86BTE08Y,0.0,3.0,3,3,0,0,0,0,0,0
BJBM86BTE10Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM86BTE12Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM86BTE14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM86CNG08Y,0.0,8.0,8,8,0,0,0,0,0,0
BJBM86CNG10Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM86CNG12Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM86CNG14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM86IRG08Y,0.0,16.0,16,16,0,0,0,0,0,0
BJBM86IRG10Y,0.0,3.0,3,3,0,0,0,0,0,0
BJBM86IRG12Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM86IRG14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJBM86KHI08Y,0.0,10.0,10,10,0,0,0,0,0,0
BJBM86KHI10Y,0.0,7.0,7,7,0,0,0,0,0,0
BJBM86KHI12Y,0.0,1.0,1,1,0,0,0,0,0,0
BJBM86KHI14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB124LTN034,0.0,1.0,1,1,0,0,0,0,0,0
BPB131BLK032,0.0,1.0,1,1,0,0,0,0,0,0
BPB131DCN032,0.0,0.0,0,0,0,0,0,0,0,0
BPB132DCM032,0.0,1.0,1,1,0,0,0,0,0,0
BPB161BLK08Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB161BLK10Y,0.0,9.0,9,9,0,0,0,0,0,0
BPB161BLK12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB161BLK14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB161BTE08Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB161BTE10Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB161IRG08Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB161NVY12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB161TLE08Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB161TLE10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB165ASH08Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB165ASH10Y,0.0,5.0,5,5,0,0,0,0,0,0
BPB165ASH12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB165ASH14Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB165BLK08Y,0.0,18.0,18,18,0,0,0,0,0,0
BPB165BLK10Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB165BLK12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB165BLK14Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB165BTE08Y,0.0,8.0,8,8,0,0,0,0,0,0
BPB165BTE12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB165CNG08Y,0.0,4.0,4,4,0,0,0,0,0,0
BPB165CNG10Y,0.0,5.0,5,5,0,0,0,0,0,0
BPB165CNG12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB165NVY08Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB165NVY10Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB165NVY12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB165PDB08Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB165PDB10Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB167BLK06Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB167BLK08Y,2.0,19.0,21,21,0,0,0,0,0,0
BPB167BLK08Y669,128.0,72.0,200,128,43,29,72,34,28,10
BPB167BLK10Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB167BLK10Y669,128.0,44.0,172,111,37,24,61,29,24,8
BPB167BLK12Y,0.0,9.0,9,9,0,0,0,0,0,0
BPB167BLK12Y669,256.0,113.0,369,236,80,53,133,63,52,18
BPB167BLK14Y,0.0,4.0,4,4,0,0,0,0,0,0
BPB167BLK14Y669,353.0,193.0,546,349,118,79,197,93,77,27
BPB167BTE08Y,0.0,5.0,5,5,0,0,0,0,0,0
BPB167BTE10Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB167BTE12Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB167CNG08Y,0.0,8.0,8,8,0,0,0,0,0,0
BPB167CNG10Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB167CNG12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB167CNG14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB167GFT08Y,16.0,15.0,31,31,0,0,0,0,0,0
BPB167GFT10Y,13.0,13.0,26,26,0,0,0,0,0,0
BPB167GFT12Y,39.0,48.0,87,66,9,12,21,10,8,3
BPB167GFT14Y,94.0,104.0,198,127,43,28,71,34,28,9
BPB167IRG08Y,4.0,12.0,16,16,0,0,0,0,0,0
BPB167IRG08Y669,24.0,10.0,34,34,0,0,0,0,0,0
BPB167IRG10Y,0.0,11.0,11,11,0,0,0,0,0,0
BPB167IRG10Y669,20.0,12.0,32,32,0,0,0,0,0,0
BPB167IRG12Y,0.0,10.0,10,10,0,0,0,0,0,0
BPB167IRG12Y669,51.0,12.0,63,49,14,0,14,7,5,2
BPB167IRG14Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB167IRG14Y669,104.0,62.0,166,106,36,24,60,28,23,9
BPB167KHI08Y,0.0,10.0,10,10,0,0,0,0,0,0
BPB167KHI08Y669,0.0,10.0,10,10,0,0,0,0,0,0
BPB167KHI10Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB167KHI10Y669,0.0,3.0,3,3,0,0,0,0,0,0
BPB167KHI12Y,0.0,9.0,9,9,0,0,0,0,0,0
BPB167KHI12Y669,17.0,10.0,27,27,0,0,0,0,0,0
BPB167KHI14Y,0.0,2.0,2,2,0,0,0,0,0,0
